Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-01-02,2019,1,2,Wednesday,00,2019-00,46.939998626708984,47.220001220703125,46.560001373291016,46.93000030517578,11603700,38.95754623413086,0.0,38.95754623413086,38.95754623413086
2019-01-03,2019,1,3,Thursday,00,2019-00,46.81999969482422,47.369998931884766,46.529998779296875,46.63999938964844,14714400,38.7168083190918,-0.006179493790298141,38.83717727661133,38.83717727661133
2019-01-04,2019,1,4,Friday,00,2019-00,46.75,47.56999969482422,46.63999938964844,47.56999969482422,13013700,39.48882293701172,0.019940037710681535,39.05439249674479,39.05439249674479
2019-01-07,2019,1,7,Monday,01,2019-01,47.56999969482422,47.75,46.900001525878906,46.95000076293945,13135500,38.974151611328125,-0.013033341776343743,39.034332275390625,39.034332275390625
2019-01-08,2019,1,8,Tuesday,01,2019-01,47.25,47.56999969482422,47.040000915527344,47.47999954223633,15420700,39.41410446166992,0.01128832398275792,39.110286712646484,39.110286712646484
2019-01-09,2019,1,9,Wednesday,01,2019-01,47.08000183105469,47.279998779296875,46.43000030517578,46.56999969482422,18032500,38.6587028503418,-0.019165768743084066,39.0350227355957,39.0350227355957
2019-01-10,2019,1,10,Thursday,01,2019-01,46.65999984741211,47.09000015258789,46.34000015258789,47.06999969482422,15976600,39.073760986328125,0.010736473429880267,39.04055677141462,39.04055677141462
2019-01-11,2019,1,11,Friday,01,2019-01,47.290000915527344,47.36000061035156,46.970001220703125,47.34000015258789,11088600,39.297889709472656,0.0057360417192231505,39.072723388671875,39.072723388671875
2019-01-14,2019,1,14,Monday,02,2019-02,47.25,47.400001525878906,46.9900016784668,47.150001525878906,11514300,39.14016342163086,-0.0040136070666353385,39.08021672566732,39.08021672566732
2019-01-15,2019,1,15,Tuesday,02,2019-02,46.88999938964844,47.599998474121094,46.810001373291016,47.56999969482422,11342900,39.48882293701172,0.008907972908160477,39.121077346801755,39.121077346801755
2019-01-16,2019,1,16,Wednesday,02,2019-02,47.400001525878906,47.470001220703125,46.86000061035156,46.91999816894531,16907800,38.94923782348633,-0.013664249106287052,39.1054555719549,39.1054555719549
2019-01-17,2019,1,17,Thursday,02,2019-02,46.91999816894531,47.13999938964844,46.880001068115234,47.060001373291016,12044600,39.065452575683594,0.002983749071649111,39.10212198893229,39.10212198893229
2019-01-18,2019,1,18,Friday,02,2019-02,47.25,47.689998626708984,47.119998931884766,47.61000061035156,12760700,39.522029876708984,0.011687495495945832,39.13442259568434,39.13442259568434
2019-01-22,2019,1,22,Tuesday,03,2019-03,47.70000076293945,47.790000915527344,47.209999084472656,47.720001220703125,11700400,39.61333465576172,0.002310224938788963,39.168630599975586,39.168630599975586
2019-01-23,2019,1,23,Wednesday,03,2019-03,47.81999969482422,48.290000915527344,47.650001525878906,48.27000045776367,12058300,40.06991195678711,0.011525848681839923,39.24808529445103,39.22871602376302
2019-01-24,2019,1,24,Thursday,03,2019-03,48.11000061035156,48.11000061035156,47.380001068115234,47.689998626708984,10272000,39.58842849731445,-0.012016084786807268,39.31034387860979,39.251198053359985
2019-01-25,2019,1,25,Friday,03,2019-03,47.880001068115234,48.029998779296875,47.2400016784668,47.369998931884766,12066500,39.32279586791992,-0.006709855366260675,39.298484802246094,39.25540968951057
2019-01-28,2019,1,28,Monday,04,2019-04,47.220001220703125,47.29999923706055,46.939998626708984,47.16999816894531,9966900,39.156776428222656,-0.004221964283895319,39.31152943202427,39.24993006388346
2019-01-29,2019,1,29,Tuesday,04,2019-04,47.20000076293945,47.630001068115234,47.130001068115234,47.400001525878906,11998600,39.34770202636719,0.004875927376057465,39.30678640093122,39.25507595664576
2019-01-30,2019,1,30,Wednesday,04,2019-04,47.25,47.88999938964844,47.189998626708984,47.86000061035156,12952500,39.72955322265625,0.009704536138684272,39.3832757132394,39.278799819946286
2019-01-31,2019,1,31,Thursday,04,2019-04,47.849998474121094,48.779998779296875,47.470001220703125,48.130001068115234,32181500,39.95369338989258,0.00564164832109193,39.446128027779714,39.31093760899135
2019-02-01,2019,2,1,Friday,04,2019-04,48.47999954223633,48.779998779296875,48.400001525878906,48.70000076293945,19130100,40.42686080932617,0.011842895594560865,39.526768820626394,39.36166139082475
2019-02-04,2019,2,4,Monday,05,2019-05,48.70000076293945,49.45000076293945,48.540000915527344,49.25,15105700,40.883419036865234,0.011293437541253226,39.65128707885742,39.427824766739555
2019-02-05,2019,2,5,Tuesday,05,2019-05,49.33000183105469,49.470001220703125,49.099998474121094,49.2599983215332,12651900,40.89171600341797,0.00020294209115068185,39.751493726457866,39.48882023493449
2019-02-06,2019,2,6,Wednesday,05,2019-05,49.209999084472656,49.36000061035156,49.02000045776367,49.2599983215332,8689100,40.89171600341797,0.0,39.89024216788156,39.54493606567383
2019-02-07,2019,2,7,Thursday,05,2019-05,49.16999816894531,49.459999084472656,49.0,49.41999816894531,10047800,41.0245361328125,0.0032480938042176444,40.03017670767648,39.601843760563774
2019-02-08,2019,2,8,Friday,05,2019-05,49.369998931884766,49.5,49.11000061035156,49.5,9813300,41.0909538269043,0.0016189748953352456,40.142242704119,39.65699598524306
2019-02-11,2019,2,11,Monday,06,2019-06,49.56999969482422,49.880001068115234,49.47999954223633,49.61000061035156,9369300,41.18227005004883,0.002222295046476752,40.25430951799665,39.711470058986116
2019-02-12,2019,2,12,Tuesday,06,2019-06,49.689998626708984,49.79999923706055,49.459999084472656,49.65999984741211,10983300,41.22377014160156,0.0010077174352529639,40.336727959769114,39.763618337697
2019-02-13,2019,2,13,Wednesday,06,2019-06,49.61000061035156,49.939998626708984,49.560001373291016,49.790000915527344,12748800,41.331695556640625,0.002618038444041959,40.46124703543527,39.81588757832845
